customerID,Churn,Contract,PaperlessBilling,PaymentMethod,PhoneService,MultipleLines,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Monthly,Total,churn_bin,qtd_servicos,tenure_faixa
0023-HGHWL,Yes,Month-To-Month,1,Electronic Check,0,No Phone Service,Male,1,0,0,1,Dsl,0,0,0,0,0,0,25.1,25.1,1.0,0.0,0–12
0023-UYUPN,No,One Year,0,Electronic Check,1,1,Female,1,1,0,50,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.2,1306.3,0.0,,49–72
0023-XUOPT,Yes,Month-To-Month,0,Electronic Check,1,1,Female,0,1,0,13,Fiber Optic,0,1,1,0,1,0,94.1,1215.6,1.0,3.0,13–24
0027-KWYKW,No,Month-To-Month,1,Electronic Check,1,1,Female,0,1,1,23,Fiber Optic,0,0,0,0,1,0,83.75,1849.95,0.0,1.0,13–24
0030-FNXPP,No,Month-To-Month,0,Mailed Check,1,0,Female,0,0,0,3,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.85,57.2,0.0,,0–12
0031-PVLZI,Yes,Month-To-Month,0,Mailed Check,1,0,Female,0,1,1,4,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.35,76.35,1.0,,0–12
0032-PGELS,Yes,Month-To-Month,0,Bank Transfer (Automatic),0,No Phone Service,Female,0,1,1,1,Dsl,1,0,0,0,0,0,30.5,30.5,1.0,1.0,0–12
0036-IHMOT,No,One Year,1,Bank Transfer (Automatic),1,0,Female,0,1,1,55,Fiber Optic,0,1,1,1,1,1,103.7,5656.75,0.0,5.0,49–72
0040-HALCW,No,Two Year,0,Credit Card (Automatic),1,0,Male,0,1,1,54,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.4,1090.6,0.0,,49–72
0042-JVWOJ,No,One Year,1,Bank Transfer (Automatic),1,0,Male,0,0,0,26,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.6,471.85,0.0,,25–48
0042-RLHYP,No,Two Year,0,Bank Transfer (Automatic),1,0,Female,0,1,1,69,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.7,1396.9,0.0,,49–72
0047-ZHDTW,,Month-To-Month,1,Bank Transfer (Automatic),1,1,Female,0,0,0,11,Fiber Optic,1,0,0,0,0,0,79.0,929.3,,1.0,0–12
0048-LUMLS,No,One Year,0,Credit Card (Automatic),1,0,Male,0,1,1,37,Fiber Optic,0,0,0,0,1,1,91.2,3247.55,0.0,2.0,25–48
0048-PIHNL,No,One Year,0,Bank Transfer (Automatic),1,0,Female,0,1,0,49,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.45,900.9,0.0,,49–72
0052-DCKON,No,One Year,0,Bank Transfer (Automatic),1,1,Male,0,1,0,66,Fiber Optic,1,1,1,1,1,1,115.8,7942.15,0.0,6.0,49–72
0052-YNYOT,No,One Year,0,Electronic Check,1,0,Female,0,0,0,67,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.55,1343.4,0.0,,49–72
0056-EPFBG,No,Two Year,1,Credit Card (Automatic),0,No Phone Service,Male,0,1,1,20,Dsl,1,0,1,1,0,0,39.4,825.4,0.0,3.0,13–24
0057-QBUQH,No,Two Year,1,Electronic Check,1,1,Female,0,0,1,43,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.1,1070.15,0.0,,25–48
0058-EVZWM,No,Month-To-Month,1,Bank Transfer (Automatic),1,1,Female,0,1,0,55,Fiber Optic,1,0,0,0,1,0,89.8,4959.6,0.0,2.0,49–72
0060-FUALY,No,Month-To-Month,1,Electronic Check,1,1,Female,0,1,0,59,Fiber Optic,1,1,0,0,1,0,94.75,5597.65,0.0,3.0,49–72
0064-SUDOG,No,Two Year,0,Bank Transfer (Automatic),1,0,Female,0,1,1,12,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.3,224.5,0.0,,0–12
0064-YIJGF,No,Month-To-Month,1,Bank Transfer (Automatic),1,1,Male,0,1,1,27,Fiber Optic,0,0,0,0,0,0,75.75,1929.0,0.0,0.0,25–48
0067-DKWBL,Yes,Month-To-Month,1,Electronic Check,1,0,Male,1,0,0,2,Dsl,1,0,0,0,0,0,49.25,91.1,1.0,1.0,0–12
0068-FIGTF,No,One Year,0,Mailed Check,1,0,Female,0,0,0,27,Dsl,0,1,1,1,1,1,78.2,2078.95,0.0,5.0,25–48
0071-NDAFP,No,Two Year,0,Credit Card (Automatic),1,1,Male,0,1,1,25,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.5,630.6,0.0,,25–48
0074-HDKDG,No,One Year,1,Bank Transfer (Automatic),1,0,Male,0,1,1,25,Dsl,1,1,1,0,0,0,61.6,1611.0,0.0,3.0,25–48
0076-LVEPS,No,Month-To-Month,1,Mailed Check,0,No Phone Service,Male,0,0,1,29,Dsl,1,1,1,1,0,0,45.0,1242.45,0.0,4.0,25–48
0078-XZMHT,No,Two Year,1,Bank Transfer (Automatic),1,1,Male,0,1,0,72,Dsl,0,1,1,1,1,1,85.15,6316.2,0.0,5.0,49–72
0080-EMYVY,No,One Year,0,Credit Card (Automatic),1,0,Female,0,0,0,14,Dsl,0,1,0,0,0,0,51.45,727.85,0.0,1.0,13–24
0080-OROZO,No,One Year,1,Electronic Check,1,0,Female,0,0,0,35,Fiber Optic,0,0,1,1,1,1,99.25,3532.0,0.0,4.0,25–48
0082-LDZUE,No,Month-To-Month,1,Mailed Check,1,0,Male,0,0,0,1,Dsl,0,0,0,0,0,0,44.3,44.3,0.0,0.0,0–12
0082-OQIQY,No,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,29,Fiber Optic,0,0,0,1,1,1,94.2,2607.6,0.0,3.0,25–48
0083-PIVIK,No,One Year,0,Electronic Check,1,1,Male,0,0,0,64,Dsl,1,1,1,1,1,0,81.25,5567.55,0.0,5.0,49–72
0089-IIQKO,No,Month-To-Month,1,Credit Card (Automatic),1,1,Female,0,1,1,39,Fiber Optic,0,0,0,1,1,1,99.95,3767.4,0.0,3.0,25–48
0093-EXYQL,No,Month-To-Month,1,Electronic Check,1,0,Female,1,0,0,40,Fiber Optic,0,0,0,0,1,1,91.55,3673.6,0.0,2.0,25–48
0093-XWZFY,Yes,Month-To-Month,1,Credit Card (Automatic),1,1,Male,0,0,0,40,Fiber Optic,0,1,1,0,1,1,104.5,4036.85,1.0,4.0,25–48
0094-OIFMO,Yes,Month-To-Month,1,Electronic Check,1,0,Female,1,0,0,11,Fiber Optic,0,1,0,0,1,1,95.0,1120.3,1.0,3.0,0–12
0096-BXERS,No,Month-To-Month,0,Electronic Check,1,1,Female,0,1,0,6,Dsl,0,0,0,0,0,0,50.35,314.55,0.0,0.0,0–12
0096-FCPUF,No,Month-To-Month,1,Mailed Check,1,1,Male,0,0,0,30,Dsl,1,0,0,0,0,1,64.5,1888.45,0.0,2.0,25–48
0098-BOWSO,No,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,27,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.4,529.8,0.0,,25–48
0100-DUVFC,No,One Year,1,Electronic Check,1,1,Male,1,1,0,70,Fiber Optic,0,1,1,0,1,1,104.8,7308.95,0.0,4.0,49–72
0103-CSITQ,No,One Year,1,Bank Transfer (Automatic),1,1,Female,0,1,0,57,Fiber Optic,0,1,1,1,1,1,109.4,6252.7,0.0,5.0,49–72
0104-PPXDV,No,One Year,0,Credit Card (Automatic),1,0,Male,0,1,0,58,Dsl,0,0,1,0,0,0,50.3,2878.55,0.0,1.0,49–72
0106-GHRQR,No,Month-To-Month,1,Bank Transfer (Automatic),1,1,Male,0,0,0,16,Dsl,0,1,1,0,0,1,71.4,1212.1,0.0,3.0,13–24
0106-UGRDO,No,Two Year,1,Electronic Check,1,1,Female,0,1,0,69,Fiber Optic,1,1,1,1,1,1,116.0,8182.85,0.0,6.0,49–72
0107-WESLM,Yes,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,1,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.85,19.85,1.0,,0–12
0107-YHINA,Yes,Month-To-Month,1,Electronic Check,1,1,Male,0,0,1,1,Fiber Optic,0,0,1,0,1,1,99.75,99.75,1.0,3.0,0–12
0111-KLBQG,No,Month-To-Month,1,Mailed Check,1,0,Male,1,1,1,32,Fiber Optic,0,1,0,0,1,1,93.95,2861.45,0.0,3.0,25–48
0112-QAWRZ,No,Month-To-Month,1,Bank Transfer (Automatic),1,1,Male,0,1,1,16,Fiber Optic,0,0,1,0,1,0,90.8,1442.2,0.0,2.0,13–24
0112-QWPNC,Yes,One Year,0,Electronic Check,1,1,Male,0,1,0,49,Dsl,1,0,1,1,1,1,84.35,4059.35,1.0,5.0,49–72
0114-IGABW,No,Two Year,0,Bank Transfer (Automatic),0,No Phone Service,Female,0,1,0,71,Dsl,0,1,1,1,1,1,58.25,4145.9,0.0,5.0,49–72
0114-PEGZZ,No,Month-To-Month,0,Electronic Check,1,1,Female,0,0,0,33,Fiber Optic,0,1,1,0,1,1,107.55,3645.5,0.0,4.0,25–48
0114-RSRRW,No,Month-To-Month,1,Bank Transfer (Automatic),1,0,Female,0,1,0,10,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.95,187.75,0.0,,0–12
0115-TFERT,Yes,Month-To-Month,1,Electronic Check,1,1,Male,0,1,0,21,Fiber Optic,0,1,1,1,1,1,111.2,2317.1,1.0,5.0,13–24
0117-LFRMW,Yes,Month-To-Month,0,Bank Transfer (Automatic),0,No Phone Service,Male,0,1,1,37,Dsl,1,1,1,0,0,0,40.2,1448.8,1.0,3.0,25–48
0118-JPNOY,No,Month-To-Month,1,Credit Card (Automatic),1,0,Female,1,0,0,26,Fiber Optic,1,0,0,0,1,0,85.8,2193.65,0.0,2.0,25–48
0120-YZLQA,,Two Year,1,Credit Card (Automatic),1,0,Male,0,0,0,71,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.9,1355.1,,,49–72
0121-SNYRK,No,One Year,1,Mailed Check,0,No Phone Service,Male,0,0,0,50,Dsl,1,0,0,1,0,0,35.4,1748.9,0.0,2.0,49–72
0122-OAHPZ,Yes,Month-To-Month,1,Electronic Check,1,1,Female,0,0,0,7,Fiber Optic,0,0,0,0,0,0,73.85,511.25,1.0,0.0,0–12
0123-CRBRT,No,Two Year,0,Mailed Check,1,1,Female,0,1,1,61,Dsl,1,1,1,1,1,1,88.1,5526.75,0.0,6.0,49–72
0125-LZQXK,Yes,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,15,Fiber Optic,0,0,1,1,1,1,101.35,1553.95,1.0,4.0,13–24
0128-MKWSG,No,Month-To-Month,0,Mailed Check,0,No Phone Service,Female,0,0,1,26,Dsl,1,0,0,1,0,1,45.8,1147.0,0.0,3.0,25–48
0129-KPTWJ,No,Month-To-Month,1,Electronic Check,1,0,Male,0,1,0,72,Fiber Optic,0,0,1,0,1,1,94.65,6747.35,0.0,3.0,49–72
0129-QMPDR,No,One Year,1,Bank Transfer (Automatic),1,0,Male,0,1,1,44,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.5,865.05,0.0,,25–48
0130-SXOUN,No,Month-To-Month,0,Credit Card (Automatic),1,1,Male,0,0,0,66,Fiber Optic,0,1,0,0,0,1,89.4,5976.9,0.0,2.0,49–72
0133-BMFZO,Yes,Month-To-Month,1,Electronic Check,1,0,Female,0,0,0,2,Fiber Optic,1,1,0,1,0,0,86.25,181.65,1.0,3.0,0–12
0134-XWXCE,No,One Year,0,Bank Transfer (Automatic),1,0,Female,1,0,0,44,Dsl,0,0,1,1,1,1,74.85,3268.05,0.0,4.0,25–48
0135-NMXAP,Yes,Month-To-Month,1,Bank Transfer (Automatic),1,1,Female,0,0,0,12,Fiber Optic,0,1,0,0,1,0,89.75,1052.4,1.0,2.0,0–12
0136-IFMYD,No,Two Year,1,Electronic Check,1,1,Male,1,1,0,69,Fiber Optic,0,1,1,1,1,1,109.95,7634.25,0.0,5.0,49–72
0137-OCGAB,Yes,Month-To-Month,1,Mailed Check,1,1,Female,0,0,0,1,Fiber Optic,0,1,0,0,0,0,80.2,80.2,1.0,1.0,0–12
0137-UDEUO,Yes,Month-To-Month,0,Mailed Check,1,0,Female,0,0,0,3,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.85,63.75,1.0,,0–12
0139-IVFJG,No,Month-To-Month,0,Electronic Check,1,0,Female,0,1,0,2,Fiber Optic,1,1,0,0,1,0,90.35,190.5,0.0,3.0,0–12
0141-YEAYS,No,Month-To-Month,1,Bank Transfer (Automatic),1,1,Female,1,0,0,27,Fiber Optic,0,1,1,0,0,0,86.45,2401.05,0.0,2.0,25–48
0142-GVYSN,No,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,26,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.3,511.25,0.0,,25–48
0147-ESWWR,No,Month-To-Month,1,Electronic Check,1,1,Female,1,1,0,39,Fiber Optic,0,0,0,1,1,1,101.25,3949.15,0.0,3.0,25–48
0148-DCDOS,Yes,Month-To-Month,1,Bank Transfer (Automatic),1,1,Male,0,0,0,25,Fiber Optic,0,0,0,0,1,1,94.7,2362.1,1.0,2.0,25–48
0151-ONTOV,Yes,Month-To-Month,0,Mailed Check,1,0,Female,0,0,0,1,Fiber Optic,0,0,0,0,0,0,70.9,70.9,1.0,0.0,0–12
0154-QYHJU,,One Year,1,Electronic Check,1,0,Male,0,0,0,29,Dsl,1,1,0,1,0,0,58.75,1696.2,,3.0,25–48
0156-FVPTA,Yes,Month-To-Month,1,Electronic Check,1,0,Male,0,1,0,22,Dsl,1,0,0,1,0,0,54.2,1152.7,1.0,2.0,13–24
0162-RZGMZ,,Month-To-Month,0,Credit Card (Automatic),1,0,Female,1,0,0,5,Dsl,1,1,0,1,0,0,59.9,287.85,,3.0,0–12
0164-APGRB,No,Two Year,1,Electronic Check,1,1,Female,0,0,0,72,Fiber Optic,1,1,1,1,1,1,114.9,8496.7,0.0,6.0,49–72
0164-XAIRP,No,Two Year,1,Bank Transfer (Automatic),1,0,Female,0,0,0,24,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.55,470.2,0.0,,13–24
0168-XZKBB,No,Month-To-Month,1,Electronic Check,1,1,Female,0,1,0,19,Fiber Optic,0,0,0,0,1,0,86.85,1564.4,0.0,1.0,13–24
0174-QRVVY,No,Two Year,0,Credit Card (Automatic),1,1,Male,0,1,1,71,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.35,1847.55,0.0,,49–72
0177-PXBAT,No,Month-To-Month,1,Bank Transfer (Automatic),1,1,Male,1,1,0,33,Fiber Optic,1,0,1,1,1,1,109.9,3694.7,0.0,5.0,25–48
0178-CIIKR,No,Month-To-Month,0,Mailed Check,1,0,Female,0,0,0,3,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.95,58.0,0.0,,0–12
0178-SZBHO,No,Month-To-Month,0,Electronic Check,1,1,Male,0,1,1,47,Fiber Optic,0,1,0,0,1,0,87.2,4017.45,0.0,2.0,25–48
0181-RITDD,No,Two Year,0,Mailed Check,1,0,Male,0,1,1,62,Fiber Optic,1,1,1,1,1,1,108.15,6825.65,0.0,6.0,49–72
0186-CAERR,No,One Year,1,Bank Transfer (Automatic),1,1,Male,0,0,0,71,Fiber Optic,1,1,1,1,1,1,116.3,8309.55,0.0,6.0,49–72
0187-QSXOE,No,Month-To-Month,1,Electronic Check,1,0,Male,1,1,0,7,Fiber Optic,0,0,0,0,1,1,89.0,605.45,0.0,2.0,0–12
0187-WZNAB,No,Month-To-Month,0,Mailed Check,1,0,Female,0,1,1,27,Fiber Optic,1,0,0,0,0,0,74.4,1972.35,0.0,1.0,25–48
0188-GWFLE,No,Month-To-Month,0,Mailed Check,1,0,Male,0,0,0,2,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.05,33.7,0.0,,0–12
0191-EQUUH,No,Two Year,0,Bank Transfer (Automatic),0,No Phone Service,Female,0,0,1,25,Dsl,1,0,0,1,0,0,35.05,844.45,0.0,2.0,25–48
0191-ZHSKZ,No,Month-To-Month,1,Electronic Check,1,0,Male,1,0,0,30,Dsl,1,1,0,0,1,1,74.75,2111.3,0.0,4.0,25–48
0193-ESZXP,Yes,One Year,1,Credit Card (Automatic),1,0,Female,1,1,0,58,Fiber Optic,1,1,0,1,1,1,105.5,6205.5,1.0,5.0,49–72
0195-IESCP,Yes,Month-To-Month,1,Electronic Check,1,1,Male,0,1,0,10,Fiber Optic,0,0,0,0,0,1,85.25,855.3,1.0,1.0,0–12
0196-JTUQI,No,Month-To-Month,1,Credit Card (Automatic),1,1,Female,0,0,0,9,Fiber Optic,0,0,0,0,0,0,75.2,633.85,0.0,0.0,0–12
0196-VULGZ,Yes,Month-To-Month,1,Electronic Check,1,1,Female,1,1,0,6,Fiber Optic,0,0,0,0,0,1,84.35,474.9,1.0,1.0,0–12
0197-PNKNK,No,One Year,0,Bank Transfer (Automatic),1,1,Female,0,1,1,69,Fiber Optic,1,0,1,0,0,0,84.45,5848.6,0.0,2.0,49–72
0201-MIBOL,No,Two Year,1,Bank Transfer (Automatic),1,1,Female,1,0,0,66,Fiber Optic,1,0,0,0,1,1,102.4,6471.85,0.0,3.0,49–72
0201-OAMXR,Yes,One Year,0,Credit Card (Automatic),1,1,Female,0,0,0,70,Fiber Optic,1,1,1,1,1,1,115.55,8127.6,1.0,6.0,49–72
0203-HHYIJ,Yes,One Year,0,Bank Transfer (Automatic),1,1,Male,0,0,0,25,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.3,676.35,1.0,,25–48
0206-OYVOC,No,Two Year,1,Mailed Check,1,0,Female,0,1,1,46,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.25,864.2,0.0,,25–48
0206-TBWLC,No,One Year,1,Mailed Check,1,1,Female,0,1,0,54,Fiber Optic,1,1,1,1,1,1,114.65,6049.5,0.0,6.0,49–72
0207-MDKNV,Yes,Month-To-Month,0,Electronic Check,1,0,Female,0,0,0,15,Fiber Optic,1,0,1,1,1,1,105.1,1582.75,1.0,5.0,13–24
0208-BPQEJ,No,Month-To-Month,0,Bank Transfer (Automatic),1,0,Female,0,1,1,12,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.4,198.1,0.0,,0–12
0212-ISBBF,No,Month-To-Month,1,Electronic Check,0,No Phone Service,Female,0,0,0,22,Dsl,0,1,0,0,1,1,50.35,1098.85,0.0,3.0,13–24
0214-JHPFW,No,Two Year,0,Bank Transfer (Automatic),0,No Phone Service,Female,0,1,0,70,Dsl,0,1,1,1,1,1,57.8,4039.3,0.0,5.0,49–72
0215-BQKGS,No,Month-To-Month,1,Credit Card (Automatic),1,0,Male,0,0,0,30,Fiber Optic,1,1,1,0,0,0,84.3,2438.6,0.0,3.0,25–48
0218-QNVAS,No,One Year,0,Bank Transfer (Automatic),1,1,Male,0,1,1,71,Fiber Optic,0,1,0,0,1,1,100.55,7113.75,0.0,3.0,49–72
0219-QAERP,No,One Year,0,Credit Card (Automatic),1,0,Male,0,1,0,30,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.8,576.65,0.0,,25–48
0219-YTZUE,Yes,Month-To-Month,1,Bank Transfer (Automatic),1,1,Male,0,1,1,4,Fiber Optic,0,1,1,0,0,0,84.8,371.9,1.0,2.0,0–12
0220-EBGCE,Yes,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,2,Fiber Optic,0,0,1,0,0,1,85.85,167.3,1.0,2.0,0–12
0221-NAUXK,No,One Year,1,Bank Transfer (Automatic),1,0,Male,0,0,1,10,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.95,219.5,0.0,,0–12
0221-WMXNQ,No,Month-To-Month,0,Electronic Check,1,0,Male,1,0,0,4,Fiber Optic,1,0,0,0,0,0,75.35,273.4,0.0,1.0,0–12
0222-CNVPT,No,Month-To-Month,1,Credit Card (Automatic),0,No Phone Service,Male,1,0,0,52,Dsl,1,0,0,0,1,1,48.8,2555.05,0.0,3.0,49–72
0224-HJAPT,Yes,Month-To-Month,0,Electronic Check,1,1,Male,0,0,0,5,Dsl,0,0,0,0,0,0,47.15,223.15,1.0,0.0,0–12
0224-NIJLP,No,Two Year,0,Mailed Check,1,0,Male,0,1,1,8,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,20.15,165.5,0.0,,0–12
0224-RLWWD,No,Month-To-Month,1,Electronic Check,1,0,Female,1,0,0,2,Dsl,0,0,0,0,0,0,44.3,89.3,0.0,0.0,0–12
0225-ZORZP,No,Month-To-Month,0,Electronic Check,1,0,Male,0,0,0,3,Fiber Optic,0,1,0,0,0,1,84.3,235.05,0.0,2.0,0–12
0228-MAUWC,No,Month-To-Month,0,Electronic Check,1,1,Male,0,0,0,19,Dsl,0,0,1,1,0,0,59.55,1144.6,0.0,2.0,13–24
0229-LFJAF,No,Two Year,0,Bank Transfer (Automatic),1,1,Male,0,0,0,72,Dsl,1,1,1,1,0,0,69.65,4908.25,0.0,4.0,49–72
0230-UBYPQ,No,One Year,0,Bank Transfer (Automatic),0,No Phone Service,Male,1,1,0,63,Dsl,1,0,0,1,0,0,36.1,2298.9,0.0,2.0,49–72
0230-WEQUW,No,Two Year,1,Bank Transfer (Automatic),0,No Phone Service,Male,0,1,0,66,Dsl,1,1,1,1,1,0,56.6,3789.2,0.0,5.0,49–72
0231-LXVAP,Yes,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,1,Fiber Optic,0,0,0,1,0,0,75.9,75.9,1.0,1.0,0–12
0233-FTHAV,No,One Year,1,Bank Transfer (Automatic),1,1,Female,0,0,0,60,Fiber Optic,0,0,1,0,0,0,79.2,4765.0,0.0,1.0,49–72
0234-TEVTT,No,One Year,0,Credit Card (Automatic),0,No Phone Service,Female,0,1,1,48,Dsl,1,0,1,0,0,1,45.0,2196.3,0.0,3.0,25–48
0235-KGSLC,Yes,Month-To-Month,1,Credit Card (Automatic),1,0,Female,0,0,0,1,Fiber Optic,0,0,1,0,1,0,85.55,85.55,1.0,2.0,0–12
0236-HFWSV,Yes,Month-To-Month,1,Electronic Check,1,1,Male,0,0,0,15,Fiber Optic,0,0,0,0,1,1,93.35,1444.65,1.0,2.0,13–24
0237-YFUTL,No,Month-To-Month,1,Bank Transfer (Automatic),1,1,Female,0,1,0,50,Fiber Optic,1,1,0,1,1,1,109.65,5405.8,0.0,5.0,49–72
0238-WHBIQ,No,Two Year,0,Credit Card (Automatic),1,1,Male,0,1,1,72,Dsl,1,1,1,1,1,1,89.7,6339.3,0.0,6.0,49–72
0239-OXEXL,No,Month-To-Month,0,Mailed Check,1,1,Female,0,0,0,46,Fiber Optic,1,1,0,0,0,0,84.25,3847.6,0.0,2.0,25–48
0244-LGNFY,No,Two Year,0,Bank Transfer (Automatic),1,1,Female,0,1,1,72,Dsl,1,1,1,1,1,1,92.65,6733.0,0.0,6.0,49–72
0247-SLUJI,No,Month-To-Month,0,Mailed Check,1,0,Male,0,1,1,1,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,19.7,19.7,0.0,,0–12
0248-IPDFW,No,Month-To-Month,1,Electronic Check,1,1,Female,0,0,0,1,Dsl,0,0,0,0,0,0,50.1,50.1,0.0,0.0,0–12
